,Year,Banking Crisis ,Systemic Crisis,exch_usd,Domestic Debt,Sovereign External debt2,GDP_Weighted_default,Independence,Currency Crises,Inflation Crises
101,114.0,0.0,0.0,-0.2808106316004498,0.0,1.0,0.86,1,0,0.0
102,120.0,0.0,0.0,-0.280797877809356,1.0,0.0,0.0,1,1,1.0
103,121.0,0.0,0.0,-0.2807277415907114,1.0,0.0,0.0,1,1,1.0
104,122.0,0.0,0.0,-0.278805950594568,1.0,0.0,0.0,1,1,1.0
105,123.0,0.0,0.0,-0.2787526360682798,0.0,0.0,0.0,1,1,0.0
106,124.0,1.0,1.0,-0.278734350988108,0.0,0.0,0.0,1,0,1.0
107,125.0,0.0,0.0,-0.278734350988108,0.0,0.0,0.0,1,0,0.0
108,126.0,0.0,0.0,-0.278734350988108,0.0,0.0,0.0,1,0,0.0
109,127.0,0.0,0.0,-0.27874615344049236,0.0,0.0,0.0,1,0,0.0
110,128.0,0.0,0.0,-0.27874688019248645,0.0,0.0,0.0,1,0,0.0
111,129.0,1.0,1.0,-0.2787454266884983,0.0,0.0,0.0,1,0,0.0
112,130.0,0.0,0.0,-0.2787458045995352,0.0,0.0,0.0,1,0,0.0
113,131.0,1.0,1.0,-0.27872690904768826,0.0,0.0,0.0,1,0,0.0
114,132.0,0.0,1.0,-0.278728420691836,0.0,1.0,0.86,1,0,0.0
115,133.0,0.0,1.0,-0.27917947204946203,0.0,1.0,0.86,1,1,0.0
116,134.0,0.0,0.0,-0.27926287410830636,0.0,0.0,0.0,1,0,0.0
117,135.0,0.0,0.0,-0.2792653450650863,0.0,0.0,0.0,1,0,0.0
118,136.0,0.0,0.0,-0.2792545891355735,0.0,0.0,0.0,1,0,0.0
119,137.0,0.0,0.0,-0.27927147885191667,0.0,0.0,0.0,1,0,0.0
120,138.0,0.0,0.0,-0.27927444400005264,0.0,1.0,0.86,1,0,0.0
121,145.0,0.0,0.0,-0.27790378973915636,1.0,1.0,0.86,1,1,0.0
122,146.0,0.0,0.0,-0.27790378973915636,1.0,1.0,0.86,1,1,1.0
123,147.0,0.0,0.0,-0.272089773786256,1.0,1.0,0.86,1,1,1.0
124,148.0,0.0,0.0,-0.272089773786256,1.0,1.0,0.86,1,1,1.0
125,149.0,0.0,0.0,-0.25809253037964835,0.0,1.0,0.86,1,1,1.0
126,150.0,0.0,0.0,-0.25813613549929515,0.0,1.0,0.86,1,1,0.0
127,151.0,0.0,0.0,-0.25813613549929515,0.0,1.0,0.86,1,0,1.0
128,152.0,0.0,0.0,-0.25813613549929515,0.0,1.0,0.86,1,0,0.0
129,153.0,0.0,0.0,-0.25813613549929515,0.0,0.0,0.0,1,0,0.0
130,154.0,0.0,0.0,-0.25813613549929515,0.0,0.0,0.0,1,0,0.0
131,155.0,0.0,0.0,-0.25813613549929515,0.0,0.0,0.0,1,0,0.0
132,156.0,0.0,0.0,-0.25813613549929515,0.0,0.0,0.0,1,0,0.0
133,157.0,0.0,0.0,-0.25811869345143645,0.0,0.0,0.0,1,0,0.0
134,158.0,0.0,0.0,-0.2582102642026947,0.0,0.0,0.0,1,0,0.0
135,159.0,0.0,0.0,-0.2581553217519397,0.0,0.0,0.0,1,0,0.0
136,160.0,0.0,0.0,-0.2581012514035777,0.0,0.0,0.0,1,0,0.0
137,161.0,0.0,0.0,-0.2582495088103767,0.0,0.0,0.0,1,0,0.0
138,162.0,0.0,0.0,-0.2582538693223414,0.0,0.0,0.0,1,0,0.0
139,163.0,0.0,0.0,-0.2582495088103767,0.0,0.0,0.0,1,0,0.0
140,164.0,0.0,0.0,-0.2582495088103767,0.0,0.0,0.0,1,0,0.0
141,165.0,0.0,0.0,-0.258232066762518,0.0,0.0,0.0,1,0,0.0
142,166.0,0.0,0.0,-0.2582146247146593,0.0,0.0,0.0,1,0,0.0
143,167.0,0.0,0.0,-0.2582407877864474,0.0,0.0,0.0,1,0,0.0
144,168.0,0.0,0.0,-0.2582407877864474,0.0,0.0,0.0,1,0,0.0
145,169.0,0.0,0.0,-0.2582407877864474,0.0,0.0,0.0,1,0,0.0
146,170.0,0.0,0.0,-0.2582125316689163,0.0,0.0,0.0,1,0,0.0
147,171.0,0.0,0.0,-0.26017336668919144,0.0,0.0,0.0,1,0,0.0
148,172.0,0.0,0.0,-0.26061159814164137,0.0,0.0,0.0,1,0,0.0
149,173.0,0.0,0.0,-0.26347279167238263,0.0,0.0,0.0,1,0,0.0
150,174.0,0.0,0.0,-0.26587752681066174,0.0,0.0,0.0,1,0,0.0
151,175.0,0.0,0.0,-0.26466076955203877,0.0,0.0,0.0,1,0,0.0
152,176.0,0.0,0.0,-0.2661782277157458,0.0,0.0,0.0,1,0,0.0
153,177.0,0.0,0.0,-0.26755693438873684,0.0,0.0,0.0,1,0,0.0
154,178.0,0.0,0.0,-0.2691333466742062,0.0,0.0,0.0,1,0,0.0
155,179.0,0.0,0.0,-0.26993786113168877,0.0,0.0,0.0,1,0,0.0
156,180.0,0.0,0.0,-0.26867549291791526,0.0,0.0,0.0,1,0,0.0
