,Systemic Crisis,Banking Crisis,Gold Standard,exch_usd,Domestic_Debt_In_Default,Sovereign External Debt Default,Weighted GDP,Inflation,Independence,Currency Crises,Inflation Crises
3548,0.0,0.0,1.0,-0.12112351514974137,0.0,0.0,0.0,-0.19609775900238557,1.0,0.0,0.0
252,0.0,0.0,0.0,-0.30987708941608016,0.0,0.0,0.0,-0.35266278478585666,1.0,0.0,0.0
1393,0.0,0.0,1.0,-0.3098770074038765,0.0,0.0,0.0,-0.15196221579004873,1.0,0.0,0.0
3568,0.0,0.0,0.0,4.631212475889876,0.0,0.0,0.0,-0.308140791079832,1.0,0.0,0.0
1758,0.0,0.0,0.0,-0.23575086375736118,0.0,0.0,0.0,-0.11266977435292161,1.0,0.0,0.0
1303,0.0,0.0,0.0,-0.30987707863859143,0.0,1.0,0.38,-0.17933943968473187,1.0,0.0,0.0
2233,0.0,0.0,1.0,-0.30979112750650317,0.0,0.0,0.0,-0.2600241530735874,0.0,0.0,0.0
3234,0.0,0.0,0.0,-0.26281815239610723,0.0,0.0,0.0,-0.30596822653391,1.0,0.0,0.0
2499,0.0,0.0,0.0,-0.3024950997826146,0.0,0.0,0.0,-0.17394891850977978,1.0,0.0,0.0
1219,0.0,0.0,0.0,-0.2988149780972742,0.0,0.0,0.0,-0.15134784464303463,1.0,0.0,0.0
4149,0.0,0.0,0.0,-0.2983787999366115,0.0,0.0,0.0,-0.2839430506438601,1.0,0.0,0.0
2664,0.0,0.0,1.0,-0.2683926896436854,0.0,0.0,0.0,-0.17203572695255162,1.0,0.0,0.0
3748,0.0,0.0,0.0,2.5863919701836586,0.0,0.0,0.0,-0.038031674391340954,1.0,0.0,0.0
1470,0.0,0.0,0.0,4.631212475889876,0.0,0.0,0.0,-0.17634641994258574,1.0,0.0,0.0
1753,0.0,0.0,0.0,-0.24158134944442225,0.0,0.0,0.0,-0.19720377453671675,1.0,0.0,0.0
6025,0.0,0.0,0.0,-0.10828063515159815,0.0,0.0,0.0,-0.06933073490291752,1.0,0.0,0.0
1638,0.0,0.0,0.0,2.6368404946454325,0.0,0.0,0.0,-0.032023449537891845,1.0,0.0,0.0
809,0.0,0.0,1.0,-0.23908807564976886,0.0,0.0,0.0,-0.2845993589219349,1.0,0.0,0.0
6107,0.0,0.0,0.0,-0.30131319298149284,0.0,0.0,0.0,-0.06192820917129688,1.0,0.0,0.0
